name,cultivation_variety R(varieties),expected_yield D,irrigated B,maximum_available_water_capacity D,maximum_precocity_index D,minimum_available_water_capacity D,minimum_precocity_index D,production_usage R(production_usages),soil_nature R(soil_natures)
flap_silt_triticosecale_crop_max,triticosecale,80.0,,200.0,,120.0,,,flap_silt_soil
flap_silt_triticosecale_crop_med,triticosecale,70.0,,120.0,,80.0,,,flap_silt_soil
flap_silt_triticosecale_crop_min,triticosecale,60.0,,80.0,,0.0,,,flap_silt_soil
flap_silt_wheat_crop_max,triticum_aestivum,80.0,,200.0,,120.0,,,flap_silt_soil
flap_silt_wheat_crop_med,triticum_aestivum,70.0,,120.0,,80.0,,,flap_silt_soil
flap_silt_wheat_crop_min,triticum_aestivum,60.0,,80.0,,0.0,,,flap_silt_soil
flap_silt_winter_barley_crop_max,hordeum_hexastichum,80.0,,200.0,,120.0,,,flap_silt_soil
flap_silt_winter_barley_crop_med,hordeum_hexastichum,70.0,,120.0,,80.0,,,flap_silt_soil
flap_silt_winter_barley_crop_min,hordeum_hexastichum,60.0,,80.0,,0.0,,,flap_silt_soil
granite_arena_flax_crop_max,linum,35.0,,,,120.0,,,granite_arena_soil
granite_arena_flax_crop_med,linum,20.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_flax_crop_min,linum,18.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_grain_corn_crop_max,zea,90.0,,,400.0,120.0,320.0,,granite_arena_soil
granite_arena_grain_corn_crop_med,zea,80.0,,120.0,400.0,80.0,320.0,,granite_arena_soil
granite_arena_grain_corn_crop_min,zea,70.0,,80.0,400.0,0.0,320.0,,granite_arena_soil
granite_arena_hemp_crop_max,cannabis,12.0,,,,120.0,,,granite_arena_soil
granite_arena_hemp_crop_med,cannabis,8.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_hemp_crop_min,cannabis,6.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_rapeseed_crop_max,brassica_napus,37.0,,,,120.0,,,granite_arena_soil
granite_arena_rapeseed_crop_med,brassica_napus,32.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_rapeseed_crop_min,brassica_napus,28.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_spring_barley_crop_max,hordeum_distichum,65.0,,200.0,,120.0,,,granite_arena_soil
granite_arena_spring_barley_crop_med,hordeum_distichum,55.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_spring_barley_crop_min,hordeum_distichum,45.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_sunflower_crop_max,helianthus,32.0,,,,120.0,,,granite_arena_soil
granite_arena_sunflower_crop_med,helianthus,23.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_sunflower_crop_min,helianthus,18.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_tobacco_crop_min,nicotiana,29.0,,,,0.0,,,granite_arena_soil
granite_arena_triticosecale_crop_max,triticosecale,65.0,,200.0,,120.0,,,granite_arena_soil
granite_arena_triticosecale_crop_med,triticosecale,58.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_triticosecale_crop_min,triticosecale,50.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_wheat_crop_max,triticum_aestivum,65.0,,200.0,,120.0,,,granite_arena_soil
granite_arena_wheat_crop_med,triticum_aestivum,58.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_wheat_crop_min,triticum_aestivum,50.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_winter_barley_crop_max,hordeum_hexastichum,65.0,,200.0,,120.0,,,granite_arena_soil
granite_arena_winter_barley_crop_med,hordeum_hexastichum,58.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_winter_barley_crop_min,hordeum_hexastichum,50.0,,80.0,,0.0,,,granite_arena_soil
hydromorph_sandy_clay_loam_flax_crop_max,linum,35.0,,,,120.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_flax_crop_med,linum,20.0,,120.0,,80.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_flax_crop_min,linum,18.0,,80.0,,0.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_grain_corn_crop_med,zea,75.0,,120.0,500.0,80.0,320.0,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_hemp_crop_max,cannabis,12.0,,,,120.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_hemp_crop_med,cannabis,8.0,,120.0,,80.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_hemp_crop_min,cannabis,6.0,,80.0,,0.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_rapeseed_crop_max,brassica_napus,37.0,,,,120.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_rapeseed_crop_med,brassica_napus,32.0,,120.0,,80.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_rapeseed_crop_min,brassica_napus,28.0,,80.0,,0.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_spring_barley_crop_max,hordeum_distichum,65.0,,200.0,,120.0,,,hydromorph_sandy_clay_loam_soil
